generation,best_fitness,mean_fitness,f1_coverage,f2_cost,n_selected,feasible,mut_rate
77,-0.48281043785294714,24.557415071310388,0.978026905829377,0.18363438586807937,33,True,0.039733333333333336
78,-0.4847755110583102,9.556302001223152,0.9931614349773557,0.19761456083092124,34,True,0.0396
79,-0.4847755110583102,4.554990419662591,0.9931614349773557,0.19761456083092124,34,True,0.03946666666666667
80,-0.4847755110583102,9.553722737272487,0.9931614349773557,0.19761456083092124,34,True,0.03933333333333334
81,-0.4847755110583102,9.553936817002207,0.9931614349773557,0.19761456083092124,34,True,0.0392
82,-0.4847755110583102,34.55601765156527,0.9931614349773557,0.19761456083092124,34,True,0.039066666666666666
83,-0.4847755110583102,39.55601651966183,0.9931614349773557,0.19761456083092124,34,True,0.038933333333333334
84,-0.4847755110583102,9.551686472420384,0.9931614349773557,0.19761456083092124,34,True,0.0388
85,-0.4847755110583102,-0.44440806235805264,0.9931614349773557,0.19761456083092124,34,True,0.03866666666666667
86,-0.4847755110583102,19.55392844240501,0.9931614349773557,0.19761456083092124,34,True,0.038533333333333336
87,-0.4847755110583102,14.558300741823667,0.9931614349773557,0.19761456083092124,34,True,0.038400000000000004
88,-0.4847755110583102,14.554271810519175,0.9931614349773557,0.19761456083092124,34,True,0.03826666666666667
89,-0.4847755110583102,9.554198276384014,0.9931614349773557,0.19761456083092124,34,True,0.03813333333333334
90,-0.4847755110583102,34.55383898944158,0.9931614349773557,0.19761456083092124,34,True,0.038000000000000006
91,-0.4847755110583102,14.553112457431137,0.9931614349773557,0.19761456083092124,34,True,0.037866666666666667
92,-0.4847755110583102,9.553804813372818,0.9931614349773557,0.19761456083092124,34,True,0.03773333333333334
93,-0.4847755110583102,14.554080919364145,0.9931614349773557,0.19761456083092124,34,True,0.0376
94,-0.4847755110583102,34.55509445158474,0.9931614349773557,0.19761456083092124,34,True,0.03746666666666667
95,-0.4847755110583102,14.551798851169353,0.9931614349773557,0.19761456083092124,34,True,0.037333333333333336
96,-0.4847755110583102,-0.4456033923922012,0.9931614349773557,0.19761456083092124,34,True,0.037200000000000004
97,-0.4847755110583102,24.552815422280574,0.9931614349773557,0.19761456083092124,34,True,0.03706666666666667
98,-0.4847755110583102,14.55238434923142,0.9931614349773557,0.19761456083092124,34,True,0.03693333333333333
99,-0.4847755110583102,44.55161130766444,0.9931614349773557,0.19761456083092124,34,True,0.0368
100,-0.4847755110583102,4.552329477675884,0.9931614349773557,0.19761456083092124,34,True,0.03666666666666667
101,-0.4847755110583102,-0.4499418430200406,0.9931614349773557,0.19761456083092124,34,True,0.036533333333333334
102,-0.4908638377047089,4.548989004681118,0.9920403587441721,0.19009973801527855,32,True,0.0364
103,-0.4908638377047089,29.550772685775748,0.9920403587441721,0.19009973801527855,32,True,0.03626666666666667
104,-0.4908638377047089,4.550329662418669,0.9920403587441721,0.19009973801527855,32,True,0.03613333333333334
105,-0.4908638377047089,14.547489079668097,0.9920403587441721,0.19009973801527855,32,True,0.036000000000000004
106,-0.4908638377047089,4.5483969316213475,0.9920403587441721,0.19009973801527855,32,True,0.03586666666666667
107,-0.49180432415265896,9.549334237751342,0.9911434977576252,0.18663342066147803,32,True,0.03573333333333334
108,-0.49180432415265896,-0.4502042095001748,0.9911434977576252,0.18663342066147803,32,True,0.03560000000000001
109,-0.49180432415265896,-0.45365481039020195,0.9911434977576252,0.18663342066147803,32,True,0.03546666666666667
110,-0.49180432415265896,4.544230609237882,0.9911434977576252,0.18663342066147803,32,True,0.035333333333333335
111,-0.49180432415265896,-0.4547425648034133,0.9911434977576252,0.18663342066147803,32,True,0.0352
112,-0.49180432415265896,19.54854439162895,0.9911434977576252,0.18663342066147803,32,True,0.03506666666666667
113,-0.49180432415265896,9.544728993425197,0.9911434977576252,0.18663342066147803,32,True,0.03493333333333334
114,-0.49180432415265896,4.54473798852568,0.9911434977576252,0.18663342066147803,32,True,0.034800000000000005
115,-0.4943829740740238,4.540491195898647,0.9906950672643517,0.18285302814412874,32,True,0.034666666666666665
116,-0.4943829740740238,4.541136528093372,0.9906950672643517,0.18285302814412874,32,True,0.03453333333333333
117,-0.4943829740740238,4.540384876137433,0.9906950672643517,0.18285302814412874,32,True,0.0344
